amendment_indicator,beginning_image_number,candidate_committee_id,coverage_end_date,coverage_start_date,ending_image_number,form_type,receipt_date,report_type,report_year,status_num,sub_id,summary_data_complete_date,summary_data_verification_date,transaction_data_complete_date
,84020180220,S4SC00018,,,84020180222,F2,1984-09-29T00:00:00,,,1,3032920021021993373,1985-05-22T00:00:00,,
,88013593925,H8NY19041,,,88013593925,F2,1988-09-12T00:00:00,,,1,3032920021021988825,1988-09-15T00:00:00,,
,88020073106,S8MS00162,,,88020073107,F2,1988-04-18T00:00:00,,,1,3032920021021994599,1988-04-19T00:00:00,,
,87013333215,H4NC09023,,,87013333215,F2,1987-06-29T00:00:00,,,1,3032920021021980122,1987-06-30T00:00:00,,
,87013384173,H2VA06040,,,87013384173,F2,1987-10-28T00:00:00,,,1,3032920021021978660,1987-11-03T00:00:00,,
,87013381647,H2CA27016,,,87013381647,F2,1987-09-21T00:00:00,,,1,3032920021021975857,1987-09-24T00:00:00,,
,88013473586,H2FL16025,,,88013473586,F2,1988-04-14T00:00:00,,,1,3032920021021976443,1988-04-21T00:00:00,,
,88013491286,H8MO09047,,,88013491286,F2,1988-04-19T00:00:00,,,1,3032920021021988322,1988-04-21T00:00:00,,
,87013333536,H6MI09047,,,87013333536,F2,1987-07-06T00:00:00,,,1,3032920021021983687,1987-07-10T00:00:00,,
,87034761084,P80001241,,,87034761090,F2,1987-07-24T00:00:00,,,1,3032920021021991672,1987-07-31T00:00:00,,
,86034250858,P80000508,,,86034250859,F2,1986-09-24T00:00:00,,,1,3032920021021991542,1987-09-30T00:00:00,,
,87020051985,S6DE00016,,,87020051986,F2,1987-05-08T00:00:00,,,1,3032920021021993664,1987-05-20T00:00:00,,
,83020032753,S6MA00015,,,83020032754,F2,1983-07-05T00:00:00,,,1,3032920021021993769,1983-07-07T00:00:00,,
,80020162531,S6TN00042,,,80020162532,F2,1980-12-09T00:00:00,,,1,3032920021021994067,1984-08-02T00:00:00,,
,87013380263,H2IL05019,,,87013380263,F2,1987-08-27T00:00:00,,,1,3032920021021976687,1987-08-31T00:00:00,,
,88013502898,H8AL06057,,,88013502898,F2,1988-05-20T00:00:00,,,1,3032920021021986715,1988-05-23T00:00:00,,
,88013691985,H2FL09012,,,88013691985,F2,1988-11-17T00:00:00,,,1,3032920021021976367,1988-11-22T00:00:00,,
,87013380934,H6OK01102,,,87013380934,F2,1987-09-10T00:00:00,,,1,3032920021021985345,1987-09-15T00:00:00,,
,87013313247,H8CA35032,,,87013313247,F2,1987-02-04T00:00:00,,,1,3032920021021987109,1987-02-06T00:00:00,,
,88013460598,H8CO03085,,,88013460598,F2,1988-03-29T00:00:00,,,1,3032920021021987252,1988-04-05T00:00:00,,
,88013515047,H6FL06068,,,88013515047,F2,1988-06-20T00:00:00,,,1,3032920021021982078,1988-06-22T00:00:00,,
,88013444061,H8FL11064,,,88013444061,F2,1988-02-18T00:00:00,,,1,3032920021021987419,1988-02-23T00:00:00,,
,14031250090,C00530535,,,14031250093,F99,2014-06-06T00:00:00,,,1,1062020140015671201,2014-06-20T08:15:57,,
,87013374118,H8IL18019,,,87013374118,F2,1987-08-18T00:00:00,,,1,3032920021021987671,1987-08-24T00:00:00,,
,87013334501,H8IL19017,,,87013334501,F2,1987-07-14T00:00:00,,,1,3032920021021987672,1987-07-16T00:00:00,,
,88013450368,H6IN11040,,,88013450368,F2,1988-02-25T00:00:00,,,1,3032920021021982948,1988-03-01T00:00:00,,
,88020091602,S8CO00040,,,88020091604,F2,1988-05-10T00:00:00,,,1,3032920021021994274,1988-05-11T00:00:00,,
,88013500364,H8NY01114,,,88013500364,F2,1988-05-02T00:00:00,,,1,3032920021021988696,1988-05-04T00:00:00,,
,88013662718,H8NY21096,,,88013662718,F2,1988-10-26T00:00:00,,,1,3032920021021988862,1988-10-28T00:00:00,,
,86033344680,P80000417,,,86033344681,F2,1986-07-01T00:00:00,,,1,3032920021021991521,1987-09-30T00:00:00,,
,87034252705,P00000091,,,87034252706,F2,1987-01-23T00:00:00,,,1,3032920021021989929,1987-01-29T00:00:00,,
,88035113640,P80001894,,,88035113642,F2,1988-03-15T00:00:00,,,1,3032920021021991755,1988-03-21T00:00:00,,
,88020162116,S6MO00271,,,88020162118,F2,1988-09-23T00:00:00,,,1,3032920021021993860,1988-09-30T00:00:00,,
,86034252518,P80000607,,,86034252519,F2,1986-11-24T00:00:00,,,1,3032920021021991564,1987-09-30T00:00:00,,
,88013444846,H0MN06028,,,88013444846,F2,1988-02-24T00:00:00,,,1,3032920021021974335,1988-02-26T00:00:00,,
,87020053305,S6PA00100,,,87020053305,F2,1987-06-18T00:00:00,,,1,3032920021021994013,1987-06-23T00:00:00,,
,84020061933,S6UT00063,,,84020061935,F2,1984-03-12T00:00:00,,,1,3032920021021994113,1984-03-14T00:00:00,,
,88013520062,H4WI04027,,,88013520062,F2,1988-06-27T00:00:00,,,1,3032920021021981056,1988-06-28T00:00:00,,
,88013444833,H6OH01021,,,88013444833,F2,1988-02-24T00:00:00,,,1,3032920021021985063,1988-02-26T00:00:00,,
,86013235183,H6MI02091,,,86013235183,F2,1986-11-26T00:00:00,,,1,3032920021021983566,1987-09-30T00:00:00,,
,27039343248,C00408302,,,27039343249,F99,2007-01-19T00:00:00,,,0,1012220070000514923,2007-01-22T11:46:43,,
,87013381646,H6TX12029,,,87013381646,F2,1987-09-21T00:00:00,,,1,3032920021021986162,1987-09-24T00:00:00,,
,87034701856,P40001653,,,87034701857,F2,1987-05-15T00:00:00,,,1,3032920021021991069,1987-05-18T00:00:00,,
,77030610540,P60002292,,,77030610541,F2,1977-10-25T00:00:00,,,1,3032920021021991345,1984-08-02T00:00:00,,
,87013392601,H8VT00067,,,87013392601,F2,1987-12-22T00:00:00,,,1,3032920021021989717,1987-12-29T00:00:00,,
,86034252282,P80000482,,,86034252283,F2,1986-10-20T00:00:00,,,1,3032920021021991537,1987-09-30T00:00:00,,
,88013692056,H8IA02019,,,88013692056,F2,1988-11-21T00:00:00,,,1,3032920021021987548,1988-11-23T00:00:00,,
