affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_f1_date,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,sponsor_candidate_ids,sponsor_candidate_list,state,treasurer_name
,[],C00119693,H,House,"[1980, 1982]",A,Authorized by a candidate,A,1980-01-25,1980-01-25,1980-01-25,1980-01-25,10TH CONG DEMOCRATIC WOMEN POLITICAL ACTION FUND,,,DEM,DEMOCRATIC PARTY,,[],IL,CAROLYN KLEAMENAKIS
,['P00000489'],C00223743,D,Delegate Committee,"[1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,1988-02-29,1988-02-29,1988-02-29,1995-03-21,10TH CONGRESSIONAL DISTRICT DELEGATES FOR BOB DOLE,,,,,,[],IL,EMORY WILLIAMS
,['P40000267'],C00181032,D,Delegate Committee,[1984],U,Unauthorized,T,1984-04-02,1984-04-02,1984-04-02,1985-02-07,10TH CONGRESSIONAL DISTRICT DELEGATES FOR MONDALE,,,,,,[],NY,STEVEN D GOLDENKRANZ
NONE,[],C00163121,X,Party - Nonqualified,"[1982, 1984]",U,Unauthorized,T,1982-10-18,1982-10-18,1984-12-13,1985-04-12,10TH CONGRESSIONAL DISTRICT DEMOCRATIC ACTION COMM OF OHIO,,,DEM,DEMOCRATIC PARTY,,[],OH,MARY L BURNWORTH
,[],C00408286,X,Party - Nonqualified,"[2004, 2006, 2008, 2010, 2012, 2014]",U,Unauthorized,A,2004-12-02,2004-12-02,2011-09-27,2013-04-08,10TH CONGRESSIONAL DISTRICT DEMOCRATIC COMM,,,DEM,DEMOCRATIC PARTY,,[],MI,CONLEY BARNETT
NONE,[],C00296806,Y,Party - Qualified,"[1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008]",U,Unauthorized,A,1994-07-28,1994-07-28,2002-05-15,2007-03-14,10TH CONGRESSIONAL DISTRICT DEMOCRATIC LEADERSHIP CAUCUS,,,DEM,DEMOCRATIC PARTY,,[],CA,ROBERT P RICH
,['P40000267'],C00180141,D,Delegate Committee,[1984],U,Unauthorized,T,1984-03-26,1984-03-26,1984-04-09,1985-02-07,10TH CONGRESSIONAL DISTRICT MONDALE DELEGATE COMMITTEE,,,,,,[],PA,JOSEPH M COGNETTI
NONE,[],C00360305,X,Party - Nonqualified,"[2000, 2002]",U,Unauthorized,T,2000-07-28,2000-07-28,2000-09-05,2002-01-30,10TH CONGRESSIONAL DISTRICT VICTORY FUND - FEDERAL,,,,,,[],IL,MICHAEL KRELOFF
,[],C88000971,D,Delegate Committee,"[1980, 1982]",U,Unauthorized,A,1980-02-28,1980-02-28,1980-02-28,1982-02-22,10TH CONRESSIONAL DISTRICT CARTER DELEGATE CANDIDATES COMMITTEE,,,,,,[],IL,DORA WILLIAMS
,[],C00486647,N,PAC - Nonqualified,"[2010, 2012]",U,Unauthorized,T,2010-07-26,2010-07-26,2010-07-26,2012-06-05,10TH CONSTITUTION PAC,,,,,,[],MA,HUGH C FINDLAY
,[],C00074468,X,Party - Nonqualified,"[1976, 1978, 1980]",U,Unauthorized,T,1976-12-27,1976-12-01,1976-12-27,1980-04-21,10TH DISTRICT CONGRESSIONAL DEMOCRAT ACTION CLUB,,,DEM,DEMOCRATIC PARTY,,[],OH,MARY L. BURNWORTH
NONE,[],C00170498,N,PAC - Nonqualified,[1984],U,Unauthorized,A,1983-09-30,1983-09-30,1983-12-02,1983-12-02,10TH DISTRICT COUNCIL,,,,,,[],MA,KATHIE A WISNER
,[],C00177790,D,Delegate Committee,[1984],U,Unauthorized,T,1984-02-21,1984-02-21,1984-02-21,1985-02-07,10TH DISTRICT DELEGATE COMMITTEE,,,,,,[],IL,DAVID E BROWN
,['P80000789'],C00227181,D,Delegate Committee,[1988],U,Unauthorized,T,1988-05-09,1988-05-09,1988-05-09,1988-12-09,10TH DISTRICT DELEGATE COMMITTEE FOR MIKE DUKAKIS,,,,,,[],NJ,HENRY CACKOWSKI
,['P40000267'],C00175836,D,Delegate Committee,[1984],U,Unauthorized,T,1984-01-25,1984-01-25,1984-01-25,1985-02-07,10TH DISTRICT MONDALE DELEGATE COMMITTEE,,,,,,[],IL,ELLIOTT D HARTSTEIN
REPUBLICAN PARTY OF VIRGINIA INC,['H6VA10134'],C00005462,Y,Party - Qualified,"[1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,M,1980-01-22,1976-10-29,2024-07-12,2024-08-19,10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE,,,REP,REPUBLICAN PARTY,,[],VA,"CROFT, GEORGE"
NONE,[],C00687368,O,Super PAC (Independent Expenditure-Only),"[2018, 2020]",U,Unauthorized,A,2018-09-12,2018-09-12,2018-09-12,2019-11-15,11/06/18 VICTORY FUND,,,,,,[],MS,"KEETON, LYNETTE"
NONE,[],C00686774,H,House,[2018],J,Joint fundraising committee,T,2018-09-05,2018-09-05,2018-09-05,2018-12-10,1106 FUND,,,,,,[],DC,"MIELNIK, MEGAN"
NONE,[],C00659722,N,PAC - Nonqualified,[2018],J,Joint fundraising committee,T,2017-11-03,2017-11-03,2017-11-03,2018-03-08,115TH FRESHMEN VICTORY,,,,,,[],VA,"MARSTON, CHRIS"
,[],C90013426,I,Independent expenditure filer (not a committee),"[2012, 2014, 2016, 2018]",U,Unauthorized,A,,2012-09-25,,2013-07-15,1199SEIU UNITED HEALTHCARE WORKERS EAST,,,,,,[],NY,
1199 SEIU UNITED HEALTHCARE WORKERS EAST,[],C00348540,Q,PAC - Qualified,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,1999-09-01,1999-09-01,2023-01-24,2024-08-11,1199 SEIU UNITED HEALTHCARE WORKERS EAST FEDERAL POLITICAL ACTION FUND,L,Labor Organization,,,,[],NY,"SCHAUB, HELEN"
1199 SEIU UNITED HEALTHCARE WORKERS EAST,[],C00344531,Q,PAC - Qualified,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,1999-04-06,1999-04-06,2023-01-24,2024-07-15,1199 SEIU UNITED HEALTHCARE WORKERS EAST HOME CARE POLITICAL ACTION FUND,L,Labor Organization,,,,[],NY,"SCHAUB, HELEN"
,[],C00561084,N,PAC - Nonqualified,[2014],U,Unauthorized,T,2014-04-07,2014-04-07,2014-04-07,2014-08-05,11 CONGRESSIONAL DISTRICT OF ILLINOIS TEA PARTY PAC,,,,,,[],IL,CAROLYN BAYNE
,['P40000267'],C00178467,D,Delegate Committee,[1984],U,Unauthorized,T,1984-03-05,1984-03-05,1984-03-05,1985-02-07,11TH CONGRESSIONAL DELEGATES FOR MONDALE,,,,,,[],PA,MAE MCHUGH
,[],C88000765,D,Delegate Committee,"[1980, 1982]",U,Unauthorized,T,1980-09-22,1980-09-22,1980-09-22,1981-01-05,11TH CONGRESSIONAL DIST CARTER DELEGATES,,,DEM,DEMOCRATIC PARTY,,[],IL,JOSEPH COMELLA
NONE,[],C00165837,X,Party - Nonqualified,"[1982, 1984]",U,Unauthorized,T,1983-02-16,1982-12-30,1983-02-28,1983-07-01,11TH CONGRESSIONAL DISTRICT CHAIRMAN,,,DEM,DEMOCRATIC PARTY,,[],NC,DOROTHY P KILPATRICK
,['P40000267'],C00182303,D,Delegate Committee,[1984],U,Unauthorized,T,1984-04-19,1984-04-19,1984-04-19,1985-02-07,11TH CONGRESSIONAL DISTRICT MONDALE DELEGATE COMMITTEE,,,,,,[],CA,JANET EPSTEIN
NONE,[],C00538975,Y,Party - Qualified,"[2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,2012-12-03,2012-12-03,2016-09-02,2024-07-16,11TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE - FEDERAL,,,REP,REPUBLICAN PARTY,,[],VA,"RUMBERG, MICHAEL"
REPUBLICAN PARTY OF VIRGINIA INC,[],C00273755,Y,Party - Qualified,"[1992, 1994, 1996, 1998, 2000, 2002, 2004, 2010, 2012]",U,Unauthorized,A,1992-08-06,1992-08-06,2012-08-15,2012-08-15,11TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE - FEDERAL,,,REP,REPUBLICAN PARTY,,[],VA,"GORE, CHADWICK"
,[],C00169771,X,Party - Nonqualified,[1984],U,Unauthorized,A,1983-09-02,1983-09-02,1983-09-02,1983-09-02,11TH CONGRESSIONAL DISTRICT REPUBLICAN FINANCE COMMITTEE,,,REP,REPUBLICAN PARTY,,[],MI,ANTHONY C PIZZI
NONE,[],C00165142,Y,Party - Qualified,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,1983-01-27,1983-01-12,2024-01-29,2024-09-02,11TH CONGRESSIONAL DISTRICT REPUBLICAN PARTY,,,REP,REPUBLICAN PARTY,,[],NC,"BOOTH, WALLACE W !!!"
OAKLAND COUNTY DEMOCRATIC PARTY,[],C00280941,Y,Party - Qualified,"[1994, 1996, 1998, 2000, 2002, 2004]",U,Unauthorized,T,1993-04-05,1993-04-05,1994-12-08,2003-09-26,11TH DISTRICT DEMOCRATIC COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],MI,BARBARA JOHNSON
NORTH CAROLINA DEMOCRATIC PARTY,[],C00175687,X,Party - Nonqualified,"[1984, 1986, 1988, 1990, 1992, 1994]",U,Unauthorized,A,1984-01-30,1984-01-30,1984-01-30,1993-04-20,11TH DISTRICT NORTH CAROLINA YOUNG DEMOCRATS,,,DEM,DEMOCRATIC PARTY,,[],NC,GARY BROWN
FIDELCOR INC,[],C00043562,Q,PAC - Qualified,"[1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994]",U,Unauthorized,T,1975-03-27,1975-03-27,1992-02-14,1994-10-28,1200 COMMITTEE - THE FIDELITY BANK,C,Corporation,UNK,UNKNOWN,,[],PA,DAVID NEWELL
NONE,[],C00353052,N,PAC - Nonqualified,"[2000, 2002, 2004, 2006]",U,Unauthorized,A,2000-01-28,2000-01-28,2001-07-18,2005-07-29,1245 FOUNDATION; THE,,,,,,[],VA,DARIN W SCHULTZ
NONE,[],C00832790,H,House,[2024],P,Principal campaign committee,Q,2023-02-06,2023-02-06,2023-02-06,2023-03-23,12FE4M5,,,NON,NON-PARTY,,[],CA,"RODRIGUEZ, JOANNA"
,[],C00757971,O,Super PAC (Independent Expenditure-Only),"[2020, 2022]",U,Unauthorized,A,2020-09-03,2020-09-03,2020-09-03,2022-03-15,12KF12 (TWELVE K F TWELVE),,,,,,[],NY,GREGORY ALLEN
,['P00000455'],C00225854,D,Delegate Committee,[1988],U,Unauthorized,T,1988-04-17,1988-04-17,1988-04-17,1988-07-27,12TH C D REPUBLICAN DELEGATE COMMITTEE,,,,,,[],NY,ROBERTA A MALOY
,[],C88000625,D,Delegate Committee,"[1980, 1982]",U,Unauthorized,T,1980-01-28,1980-01-28,1980-04-15,1981-01-05,12TH CONGRESSIONAL DISTRICT CARTER DELEGATE CANDIDATES COMMITTEE,,,,,,[],IL,BARBARA S WITT
,[],C00100933,X,Party - Nonqualified,"[1978, 1980]",U,Unauthorized,T,1978-08-03,1978-08-03,1979-11-14,1980-01-18,12TH CONGRESSIONAL DISTRICT OF ILLINOIS WOMEN'S REPUBLICAN CLUB,,,REP,REPUBLICAN PARTY,,[],IL,NANCY PORTE
,[],C00388330,X,Party - Nonqualified,"[2004, 2006]",U,Unauthorized,A,2003-07-10,2003-07-10,2003-07-10,2004-12-17,12TH CONGRESSIONAL DISTRICT REPUBLICAN COMMITTEE,,,,,,[],MI,KEITH SADOWSKI
BLANK,[],C00282186,Y,Party - Qualified,"[1994, 1996, 1998, 2000, 2002, 2004]",U,Unauthorized,T,1993-07-02,1993-07-02,2001-07-10,2003-01-31,12TH CONGRESSIONAL DISTRICT REPUBLICAN COMMITTEE,,,REP,REPUBLICAN PARTY,,[],MI,LARRY ROCCA
,[],C90002817,I,Independent expenditure filer (not a committee),"[1980, 1982]",U,Unauthorized,T,,1980-07-21,,1981-01-30,12TH DIST IND COMM FOR RONALD REAGAN,,,,,,[],MI,ELIZABETH ANN ELDRIDGE
,[],C00121863,H,House,"[1980, 1982]",A,Authorized by a candidate,T,1980-02-27,1980-02-27,1980-02-27,1980-08-08,12TH DISTRICT CITIZENS PARTY (PCC FOR TED KUHN),,,,,,[],IL,
,['H2MI10036'],C00269092,H,House,"[1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1992-05-26,1992-05-26,1992-05-26,1998-05-26,12TH DISTRICT COMMITTEE FOR A NEW CONGRESSMAN-ROB HUTH CHAIRMAN,,,,,,[],MI,KEVIN P FULARCZYK
,['P40000267'],C00175943,D,Delegate Committee,[1984],U,Unauthorized,T,1984-02-02,1984-02-02,1984-02-02,1985-02-07,12TH DISTRICT MONDALE DELEGATE COMMITTEE,,,,,,[],IL,GEORGE A MOSER
NONE,[],C00266320,N,PAC - Nonqualified,"[1992, 1994, 1996, 1998]",U,Unauthorized,A,1992-04-23,1992-04-23,1992-04-23,1997-03-19,12TH DISTRICT VOTERS EDUCATION COMMITTEE,M,Membership Organization,,,,[],NC,DORIS W MACK
NONE,[],C00297044,N,PAC - Nonqualified,"[1994, 1996, 1998, 2000]",U,Unauthorized,T,1994-08-05,1994-08-05,1998-09-25,1999-03-05,12TH GOP FEDERAL CAMPAIGN FUND,T,Trade Association,,,,[],MI,LARRY ROCCA
NONE,[],C00186510,Q,PAC - Qualified,"[1984, 1986]",U,Unauthorized,T,1984-06-22,1984-06-22,1984-06-22,1986-12-19,13TH C.D. COMMITTEE; THE,M,Membership Organization,,,,[],VA,DANIEL H ERTEL
JOHN HEDDENS KINGSTON,[],C00381384,Q,PAC - Qualified,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024]",D,Leadership PAC,T,2002-08-21,2002-08-21,2012-02-15,2024-04-24,13TH COLONY LEADERSHIP COMMITTEE INC,,,,,,[],GA,STEPHEN S. LEONARD
NONE,[],C00523274,X,Party - Nonqualified,"[2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,2012-06-11,2012-06-11,2024-01-23,2024-07-15,13TH CONG DIST REPUBLICAN PARTY,,,REP,REPUBLICAN PARTY,,[],NC,"BURNS, ROBERT"
BLANK,[],C00307496,N,PAC - Nonqualified,"[1996, 1998]",U,Unauthorized,T,1995-10-23,1995-10-23,1995-11-24,1998-11-06,13TH CONGRESSIONAL DISTRICT AFRICAN-AMERICAN DEMOCRATIC CAUCUS,T,Trade Association,,,,[],MI,ROBERT WHITE
,['P40000267'],C00176917,D,Delegate Committee,[1984],U,Unauthorized,T,1984-02-13,1984-02-13,1984-02-13,1985-02-07,13TH CONGRESSIONAL DISTRICT DELEGATE COMMITTEE FOR WALTER F MONDALE,,,,,,[],IL,JOAN P MURPHY
,['P00000489'],C00223446,D,Delegate Committee,"[1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,1988-02-24,1988-02-24,1988-02-24,1995-03-21,13TH CONGRESSIONAL DISTRICT DELEGATE DOLE COMMITTEE,,,,,,[],IL,WILLIAM J WILCOP JR
,[],C00362772,Y,Party - Qualified,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014]",U,Unauthorized,T,2006-10-31,2000-10-15,2006-12-19,2013-03-26,13TH CONGRESSIONAL DISTRICT DEMOCRATIC ORGANIZATION,,,DEM,DEMOCRATIC PARTY,,[],MI,SHARON Y PARKER
MICHIGAN REPUBLICAN PARTY,[],C00186858,X,Party - Nonqualified,"[1984, 1986, 1988, 1990, 1992, 1994]",U,Unauthorized,A,1984-07-05,1984-07-05,1989-02-19,1993-04-20,13TH CONGRESSIONAL DISTRICT REPUBLICAN COMMITTEE,,,REP,REPUBLICAN PARTY,,[],MI,EDWARD ROCHA
,[],C00040188,X,Party - Nonqualified,"[1976, 1978, 1980, 1982]",U,Unauthorized,A,1975-07-21,1975-07-21,1979-07-02,1982-02-22,13TH CONGRESSIONAL DISTRICT REPUBLICAN COMMITTEE,,,REP,REPUBLICAN PARTY,,[],MI,MRS FLORENCE LYNCH
,['P40000267'],C00175810,D,Delegate Committee,[1984],U,Unauthorized,T,1984-01-30,1984-01-30,1984-01-30,1985-02-07,14TH C D FOR MONDALE,,,,,,[],FL,GEORGE E COMERFORD
BLANK,[],C00190835,N,PAC - Nonqualified,[1984],J,Joint fundraising committee,T,1984-10-01,1984-10-01,1984-10-01,1985-01-11,"""14TH CONGRESSIONAL DISTRICT GOP CLUB""",,,,,,[],IL,DAN MATTOON
,[],C00139436,X,Party - Nonqualified,"[1980, 1982]",U,Unauthorized,A,1981-01-05,1981-01-05,1981-01-05,1982-02-22,14TH CONGRESSIONAL DISTRICT REPUB COMMITTEE,,,REP,REPUBLICAN PARTY,,[],MI,DONALD N SWEENY III
MICHIGAN DEMOCRATIC PARTY,[],C00139113,Y,Party - Qualified,"[1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994]",U,Unauthorized,T,1980-12-13,1980-12-13,1985-01-24,1993-01-15,14TH DEMOCRATIC DISTRICT FEDERAL ELECTION CAMPAIGN   COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],MI,ROBERT KLUCENS
,['P40000267'],C00177857,D,Delegate Committee,[1984],U,Unauthorized,T,1984-02-24,1984-02-24,1984-02-24,1985-02-07,14TH DISTRICT DELEGATE COMMITTEE FOR MONDALE,,,,,,[],IL,JEROME C SHAPIRO
,['P40000267'],C00181370,D,Delegate Committee,"[1984, 1986, 1988, 1990, 1992, 1994]",U,Unauthorized,T,1984-04-09,1984-04-09,1984-04-09,1985-01-18,14TH DISTRICT MONDALE DELEGATE COMMITTEE,,,,,,[],TX,ROGER DUNCAN
,[],C88000963,D,Delegate Committee,"[1980, 1982]",U,Unauthorized,T,1980-02-25,1980-02-25,1980-02-25,1981-01-05,14TH DISTRIST CARTER/MONDALE DELEGATE COMMITTEE,,,,,,[],IL,V KAY CAHAN
NONE,[],C00614552,Q,PAC - Qualified,"[2016, 2018, 2020, 2022, 2024]",B,Lobbyist/Registrant PAC,Q,2016-04-12,2016-04-12,2018-01-31,2024-07-18,150PAC.ORG,,,,,,[],MD,"KING, ANDREW"
NONE,[],C00607275,O,Super PAC (Independent Expenditure-Only),"[2016, 2018, 2020, 2022]",U,Unauthorized,T,2016-01-27,2016-01-27,2016-10-12,2021-06-14,15104; THE,,,,,,[],PA,"MILLHAM, PAT"
,[],C00641068,N,PAC - Nonqualified,[2018],U,Unauthorized,A,2017-05-22,2017-05-22,2017-05-22,2018-08-14,155 ACTION FUND,,,,,,[],PA,KIERRAN C YOUNG
,[],C00356535,N,PAC - Nonqualified,"[2000, 2002]",U,Unauthorized,T,2000-04-14,2000-04-14,2000-06-05,2002-05-23,15TH AMENDMENT EMPOWERMENT FUND,,,,,,[],PA,LUCIUS T OUTLAW III
,['P40000267'],C00184663,D,Delegate Committee,[1984],U,Unauthorized,T,1984-05-18,1984-05-18,1984-08-02,1985-02-07,15TH C D DELEGATES FOR MONDALE,,,,,,[],PA,STEPHEN P SHAAK
,['P00000489'],C00222752,D,Delegate Committee,[1988],U,Unauthorized,T,1988-02-12,1988-02-12,1988-02-12,1988-12-12,15TH C D DOLE DELEGATE COMMITTEE,,,,,,[],IL,AARON QUICK
MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE/FED ACCT,[],C00385666,X,Party - Nonqualified,"[2004, 2006, 2008, 2010, 2012, 2014]",U,Unauthorized,T,2003-03-13,2003-03-13,2010-06-17,2013-08-16,15TH CONGRESSIONAL DEMOCRATIC DISTRICT,,,DEM,DEMOCRATIC PARTY,,[],MI,"AHERN, JANE"
NONE,[],C00208660,Q,PAC - Qualified,"[1986, 1988, 1990, 1992]",U,Unauthorized,T,1986-07-10,1986-07-10,1987-10-26,1991-05-24,15TH DISTRICT COMMITTEE,M,Membership Organization,,,,[],IL,MARY ANN WEBB
,['P40000267'],C00177238,D,Delegate Committee,[1984],U,Unauthorized,T,1984-02-16,1984-02-16,1984-06-04,1985-02-11,15TH DISTRICT DELEGATES FOR MONDALE,,,,,,[],IL,HERMAN L DAMMERMAN
,['P40000267'],C00180380,D,Delegate Committee,"[1984, 1986, 1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,1984-03-28,1984-03-28,1984-05-14,1995-03-21,15TH DISTRICT DELEGATES FOR MONDALE COMM,,,,,,[],MI,PATRICIA TALLMADGE
NONE,[],C00360164,X,Party - Nonqualified,"[2000, 2002]",U,Unauthorized,T,2000-07-24,2000-07-24,2000-09-08,2001-07-20,15TH DISTRICT DEMOCRATIC UNITY FUND,,,DEM,DEMOCRATIC PARTY,,[],IL,CONNIE L ENGHOLM
NONE,[],C00759324,V,Hybrid PAC (with Non-Contribution Account) - Nonqualified,"[2020, 2022]",U,Unauthorized,T,2020-09-23,2020-09-23,2022-01-31,2022-05-17,1619 COALITION FOR AMERICA,,,,,,[],CA,"ROYSTON, GREGORY MR."
NONE,[],C00717199,O,Super PAC (Independent Expenditure-Only),"[2020, 2022, 2024]",U,Unauthorized,A,2019-08-26,2019-08-26,2019-08-26,2023-10-13,1619 PAC,,,,,,[],PA,"MABRY, KIRA"
NONE,[],C00825570,O,Super PAC (Independent Expenditure-Only),"[2022, 2024]",U,Unauthorized,T,2022-09-19,2022-09-19,2022-09-19,2023-07-28,1636 PAC,,,,,,[],VA,"GOEDE, STACI"
NONE,[],C00430785,N,PAC - Nonqualified,"[2006, 2008, 2010, 2012]",U,Unauthorized,T,2006-12-11,2006-12-11,2008-05-26,2012-01-30,16TH AD DEMOCRATS,,,,,,[],CA,HARRY HARTMAN
,['P40000267'],C00181388,D,Delegate Committee,"[1984, 1986]",U,Unauthorized,T,1984-04-09,1984-04-09,1984-04-09,1985-04-03,16TH C D DELEGATES FOR MONDALE,,,,,,[],NY,HEYWARD DAVENPORT
,[],C00072744,X,Party - Nonqualified,"[1976, 1978, 1980, 1982]",U,Unauthorized,T,1976-12-01,1976-10-27,1979-07-16,1982-03-17,16TH CONGRESSIONAL DEMOCRATIC DISTRICT FEDERAL FUND,,,DEM,DEMOCRATIC PARTY,,[],MI,FRANK NIZIO
MICHIGAN DEMOCRATIC PARTY,[],C00157404,Y,Party - Qualified,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004]",U,Unauthorized,T,1982-06-09,1982-06-09,1989-02-09,2003-10-03,16TH CONGRESSIONAL DISTRICT DEMOCRATIC PARTY,,,DEM,DEMOCRATIC PARTY,,[],MI,MR MILIEO DEJOHN
,['P40000267'],C00178681,D,Delegate Committee,[1984],U,Unauthorized,T,,1984-03-07,,1985-02-07,16TH DELEGATES FOR MONDALE,,,,,,[],IL,FRANK G MABREY
,[],C00834978,N,PAC - Nonqualified,[2024],U,Unauthorized,Q,2023-03-08,2023-03-08,2024-03-06,2024-03-06,170 FREEDOM MILWAUKEE 2024 HOST COMMITTEE INC,,,REP,REPUBLICAN PARTY,,[],WI,TIM SHEEHY
NONE,"['P40019648', 'P60005147']",C00874073,P,Presidential,[2024],P,Principal campaign committee,Q,2024-03-22,2024-03-22,2024-03-30,2024-03-30,17 11 JE 2060 FOR JOHNNIE CAMPBELL,,,NNE,NONE,,[],IA,"CAMPBELL, JOHNNIE"
,['P40001687'],C00184689,P,Presidential,[1984],P,Principal campaign committee,A,1984-05-15,1984-05-15,1984-05-15,1984-05-15,1776 COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],TX,RICHARD PENA
,[],C00696443,O,Super PAC (Independent Expenditure-Only),"[2020, 2022]",U,Unauthorized,A,2019-02-09,2019-02-09,2019-12-26,2021-02-01,1776 FREEDOM'S CALLING,,,,,,[],PA,"ADAMETZ, MICHAEL J"
PHILADELPHIA LEADERSHIP FUND,[],C00436980,N,PAC - Nonqualified,"[2008, 2010]",D,Leadership PAC,T,2007-07-26,2007-07-26,2009-03-27,2009-07-29,1776 LEADERSHIP FUND,,,,,['H8PA01153'],"[{'sponsor_candidate_id': 'H8PA01153', 'sponsor_candidate_name': 'BRADY, ROBERT A'}]",PA,"AUGUST, LINDA E."
