all_day,calendar_category_id,category,description,end_date,event_id,location,start_date,state,summary,url
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Puerto Rico (Republican Party) presidential primary election. Ends on April 19.,,7942,Puerto Rico,2024-04-02,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,36,Election Dates,Presidential primary election held in Rhode Island,,7621,Rhode Island,2024-04-02,,RI Primary (P),
True,36,Election Dates,Presidential primary election held in New York,,7620,New York,2024-04-02,,NY Primary (P),
True,36,Election Dates,Presidential primary election held in Connecticut,,7618,Connecticut,2024-04-02,,CT Primary (P),
True,36,Election Dates,Presidential primary election held in Delaware,,7619,Delaware,2024-04-02,,DE Primary (P),
True,36,Election Dates,Congressional primary runoff election held in Mississippi (if necessary),,7534,Mississippi,2024-04-02,,MS Primary Runoff (C),
True,36,Election Dates,Presidential primary election held in Wisconsin,,7622,Wisconsin,2024-04-02,,WI Primary (P),
True,36,Election Dates,Congressional primary runoff election held in Arkansas (if necessary),,7527,Arkansas,2024-04-02,,AR Primary Runoff (C),
True,27,Pre and Post-Elections,Texas Libertarian Party (Senate) Pre-Convention Report due,,7926,Texas,2024-04-02,,TX Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-texas-libertarian/
True,27,Pre and Post-Elections,Utah Constitution Party Pre-Convention Report due,,7844,Utah,2024-04-01,,UT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-utah-constitution/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the congressional conventions in Kansas (Libertarian Party), South Carolina (Alliance Party) and Utah (Libertarian Party and United Utah Party). Ends on April 18.",,7809,"KS, SC, UT",2024-04-01,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Wyoming (Republican Party) presidential primary convention. Ends on April 18.,,7941,Wyoming,2024-04-01,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,27,Pre and Post-Elections,South Carolina Constitution Party Pre-Convention Report due,,7962,South Carolina,2024-04-01,,SC Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-south-carolina-constitution/
True,36,Election Dates,Democratic Party presidential primary election held in North Dakota,,7625,North Dakota,2024-03-30,,ND Primary - Democratic Party (P),
True,28,EC Periods,"Electioneering communications period begins for the Puerto Rico (Democratic Party) presidential primary election. Ends on election day, April 28.",,7689,Puerto Rico,2024-03-29,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the Utah (Democratic Party, Independent American Party, Republican Party) congressional conventions. Ends on election day, April 27.",,7831,Utah,2024-03-28,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the Utah (Democratic Party, Independent American Party, Republican Party) congressional conventions. Ends on election day, April 27.",,7831,Utah,2024-03-28,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
False,32,Open Meetings,Public meeting of the Commission,,7493,FEC Hearing Room,2024-03-27T10:00:00-04:00,,Open Meeting,https://www.fec.gov/updates/march-27-2024-open-meeting/
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7983,,2024-03-27,,Executive Session,https://www.fec.gov/updates/march-26-2024-executive-session/
False,23,AOs and Rules,"Draft AO 2024-03 (Draft A) Written public comments are due today by 12:00pm ET to the Commission Secretary (copy to Office of General Counsel) on Draft Advisory Opinion 2024-03 (Poiticalmeetings.com, LLC).",,7954,,2024-03-26T12:00:00-04:00,,Draft AO 2024-03 (Draft A),https://www.fec.gov/files/legal/aos/2024-03/202403.pdf
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Texas (Libertarian Party) senate convention. Ends on April 12.,,7921,Texas,2024-03-26,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7484,,2024-03-26,,Executive Session,https://www.fec.gov/updates/march-26-2024-executive-session/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the presidential primaries and caucuses in Alaska (Democratic Party) and Wyoming (Democratic Party). Ends on April 11.,,7717,"AK, WY",2024-03-25,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the congressional conventions in South Carolina (Constitution Party) and Utah (Constitution Party). Ends on April 11.,,7839,"SC, UT",2024-03-25,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024
True,28,EC Periods,"Electioneering communications period begins for the Pennsylvania presidential primary election. Ends on election day, April 23.",,7695,Pennsylvania,2024-03-24,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the Pennsylvania congressional primary election. Ends on election day, April 23.",,7848,Pennsylvania,2024-03-24,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Democratic Party presidential primary election held in Missouri,,7617,Missouri,2024-03-23,,MO Primary - Democratic Party (P),
True,36,Election Dates,Constitution Party congressional convention held in Wyoming,,7914,Wyoming,2024-03-23,,WY Convention - Constitution Party (C),
True,36,Election Dates,Presidential primary election held in Louisiana,,7616,Louisiana,2024-03-23,,LA Primary (P),
True,36,Election Dates,"Minor party house conventions [multi-county congressional district #s 1-15, 17, 19, 21-28, 30-37] held in Texas",,7837,Texas,2024-03-23,,TX Convention - Minor Party (C),
True,28,EC Periods,"60-day electioneering communications period begins for the California 20th Congressional District special runoff election (if special runoff held). Ends on election day, May 21, 2024.",,7868,California,2024-03-22,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-special-elections-2024/
True,28,EC Periods,"Electioneering communications period begins for the Puerto Rico (Republican Party) presidential primary election. Ends on election day, April 21.",,7935,Puerto Rico,2024-03-22,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,27,Pre and Post-Elections,Mississippi Pre-Runoff Report due (if runoff held),,7758,Mississippi,2024-03-21,,MS Pre-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-mississippi/
True,27,Pre and Post-Elections,Arkansas Pre-Runoff Report due (if runoff held),,7730,Arkansas,2024-03-21,,AR Pre-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-arkansas/
True,28,EC Periods,"Electioneering communications period begins for the congressional conventions in Kansas (Libertarian Party), South Carolina (Alliance Party) and Utah (Libertarian Party and United Utah Party). Ends on election day, April 20.",,7810,"KS, SC, UT",2024-03-21,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the Wyoming (Republican Party) presidential primary convention. Ends on election day, April 20.",,7940,Wyoming,2024-03-21,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,26,Monthly,March Monthly Report due,,7437,FEC,2024-03-20,,March Monthly Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/2024-monthly-filers/#monthly-schedule
True,36,Election Dates,Special primary election for Ohio's 6th Congressional District,,7856,Ohio,2024-03-19,,OH/06 Special Primary Election,
True,36,Election Dates,Presidential primary election held in Florida,,7614,Florida,2024-03-19,,FL Primary (P),
True,36,Election Dates,Presidential primary election held in Arizona,,7613,Arizona,2024-03-19,,AZ Primary (P),
True,36,Election Dates,Presidential and congressional primary elections held in Illinois,,7536,Illinois,2024-03-19,,IL Primary (P & C),
True,36,Election Dates,Presidential and congressional primary elections held in Ohio,,7537,Ohio,2024-03-19,,OH Primary (P & C),
True,36,Election Dates,Special general election for California's 20th Congressional District,,7865,California,2024-03-19,,CA/20 Special General Election,
True,36,Election Dates,Presidential primary election held in Kansas,,7615,Kansas,2024-03-19,,KS Primary (P),
True,28,EC Periods,"Electioneering communications period begins for the Alabama congressional primary runoff election (if runoff held). Ends on election day, April 16.",,7825,Alabama,2024-03-17,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Republican Party presidential caucus held in Guam,,7931,Guam,2024-03-16,,GU Caucus - Republican Party (P),
True,36,Election Dates,Libertarian Party congressional convention held in West Virginia,,8005,West Virginia,2024-03-16,,WV Convention - Libertarian Party (C),
True,36,Election Dates,"Minor party conventions [single-county congressional district #s 16, 18, 20, 29, 38] held in Texas",,7836,Texas,2024-03-16,,TX Convention - Minor Party (C),
True,36,Election Dates,Workers Party congressional convention held in South Carolina,,7960,South Carolina,2024-03-16,,SC Convention - Workers Party (C),
True,23,AOs and Rules,AOR 2024-05 Comments Due Written public comments are due today to the Office of General Counsel on Advisory Opinion Request 2024-05 (Nevadans for Reproductive Freedom).,,7952,,2024-03-15,,AOR 2024-05 Comments Due,https://saos.fec.gov/aodocs/202405R_1.pdf
True,28,EC Periods,"Electioneering communications period begins for the Texas (Libertarian Party) senate convention. Ends on election day, April 14.",,7915,Texas,2024-03-15,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Republican Party presidential caucus held in Northern Mariana Islands,,7949,Northern Mariana Islands,2024-03-15,,MP Caucus - Republican Party (P),
True,23,AOs and Rules,"Comments due: Petition for rulemaking on party segregated accounts Comments are due March 15, 2024, on the Commission's February 14, 2024, notice on request for public comments to initiate a rulemaking on party segregated accounts (REG 2014-10 and REG 2019-04).",,7899,,2024-03-15,,Comments due: Petition for rulemaking on party segregated accounts,https://www.fec.gov/legal-resources/regulations/pending-rulemaking-matters-comment/
False,32,Open Meetings,Public meeting of the Commission,,7492,FEC Hearing Room,2024-03-14T10:00:00-04:00,,Open Meeting,https://www.fec.gov/updates/march-14-2024-open-meeting/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the congressional primary runoff elections (if runoffs held) in Arkansas and Mississippi. Ends on March 31.,,7657,"AR, MS",2024-03-14,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,23,AOs and Rules,AOR 2024-04 Written public comments are due today to the Office of General Counsel on Advisory Opinion Request 2024-04 (IBC PAC).,,7951,,2024-03-14,,AOR 2024-04,https://www.fec.gov/files/legal/aos/2024-04/202404R_1.pdf
True,27,Pre and Post-Elections,New York's 3rd Congressional District Special Post-General Report due,,7816,New York,2024-03-14,,NY/03 Special Post-General Report due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/special-election-report-notice-ny03/
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7953,,2024-03-14,,Executive Session,https://www.fec.gov/updates/march-12-2024-executive-session/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the presidential primary elections in Connecticut, Delaware, New York, Rhode Island and Wisconsin. Ends on March 31.",,7715,"CT, DE, NY, RI, WI",2024-03-14,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the congressional conventions in South Carolina (Constitution Party) and Utah (Constitution Party). Ends on election day, April 13.",,7830,"SC, UT",2024-03-14,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the presidential primaries and caucuses in Alaska (Democratic Party) and Wyoming (Democratic Party). Ends on election day, April 13.",,7694,"AK, WY",2024-03-14,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
False,34,Roundtables,The FEC will host a two-part Committee Operations workshop for political party committees,2024-03-13T16:15:00-04:00,7880,Online via Zoom,2024-03-13T13:00:00-04:00,,Party Committee Webinar - Day 2,https://www.fec.gov/updates/fec-to-host-march-12-13-political-party-committee-webinar-2024/
False,34,Roundtables,The FEC will host a Basics for Beginners workshop for political party committees,2024-03-12T15:00:00-04:00,7885,Online via Zoom,2024-03-12T13:00:00-04:00,,Party Committee Webinar - Day 1,https://www.fec.gov/updates/fec-to-host-march-12-13-political-party-committee-webinar-2024/
True,36,Election Dates,Republican Party presidential caucus held in Hawaii,,7609,Hawaii,2024-03-12,,HI Caucus - Republican Party (P),
True,36,Election Dates,Democratic Party presidential primary election held in Northern Mariana Islands,,7610,Northern Mariana Islands,2024-03-12,,MP Primary - Democratic Party (P),
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7483,,2024-03-12,,Executive Session,https://www.fec.gov/updates/march-12-2024-executive-session/
True,36,Election Dates,Presidential primary election held in Georgia,,7608,Georgia,2024-03-12,,GA Primary (P),
True,36,Election Dates,Presidential primary election held in Washington,,7611,Washington,2024-03-12,,WA Primary (P),
True,36,Election Dates,Presidential and congressional primary elections held in Mississippi,,7533,Mississippi,2024-03-12,,MS Primary (P & C),
True,27,Pre and Post-Elections,"Texas Minor Party Multi-County Districts [Dist. #s 1-15, 17, 19, 21-28, 30-37] Pre-Convention Report due",,7843,Texas,2024-03-11,,TX Minor Party Multi-County Districts Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-texas-minor-multi/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the North Dakota (Democratic Party) presidential primary election. Ends on March 28.,,7943,North Dakota,2024-03-11,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,27,Pre and Post-Elections,Wyoming Constitution Party Pre-Convention Report due,,7925,Wyoming,2024-03-11,,WY Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-wyoming-constitution/
True,36,Election Dates,United Citizens Party congressional convention held in South Carolina,,7959,South Carolina,2024-03-09,,SC Convention - United Citizens (C),
True,36,Election Dates,Republican Party presidential caucus held in American Samoa,,7930,American Samoa,2024-03-08,,AS Caucus - Republican Party (P),
True,27,Pre and Post-Elections,Illinois Pre-Primary Report due,,7742,Illinois,2024-03-07,,IL Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-illinois/
True,27,Pre and Post-Elections,California's 20th Congressional District Special Pre-General Report due,,7871,California,2024-03-07,,CA/20 Special Pre-General Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/special-election-report-notice-ca20/
True,27,Pre and Post-Elections,Ohio's 6th Congressional District Special Pre-Primary Report due,,7862,Ohio,2024-03-07,,OH/06 Special Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/special-election-report-notice-oh06/
True,27,Pre and Post-Elections,Ohio Pre-Primary Report due,,7769,Ohio,2024-03-07,,OH Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-ohio/
True,36,Election Dates,Democratic Party presidential caucus held in Hawaii,,7624,Hawaii,2024-03-06,,HI Caucus - Democratic Party (P),
True,36,Election Dates,Presidential and congressional primary elections held in Alabama,,7525,Alabama,2024-03-05,,AL Primary (P & C),
True,36,Election Dates,Presidential caucus (Republican Party) and primary election (Democratic Party) held in Utah,,7605,Utah,2024-03-05,,UT Caucus and Primary (P),
True,36,Election Dates,Presidential primary election held in Oklahoma,,7603,Oklahoma,2024-03-05,,OK Primary (P),
True,36,Election Dates,Presidential primary election held in Vermont,,7606,Vermont,2024-03-05,,VT Primary (P),
True,36,Election Dates,Presidential primary election held in Massachusetts,,7601,Massachusetts,2024-03-05,,MA Primary (P),
True,36,Election Dates,Special primary election for California Senate,,7463,California,2024-03-05,,CA/Senate Special Primary Election,
True,36,Election Dates,Democratic Party presidential caucus held in American Samoa,,7597,American Samoa,2024-03-05,,AS Caucus - Democratic Party (P),
True,36,Election Dates,Presidential and congressional primary elections held in Arkansas,,7528,Arkansas,2024-03-05,,AR Primary (P & C),
True,36,Election Dates,Presidential and congressional primary elections held in California,,7529,California,2024-03-05,,CA Primary (P & C),
True,36,Election Dates,Presidential primary election held in Minnesota,,7602,Minnesota,2024-03-05,,MN Primary (P),
True,36,Election Dates,Presidential and congressional primary elections held in North Carolina,,7530,North Carolina,2024-03-05,,NC Primary (P & C),
True,36,Election Dates,Presidential primary election held in Tennessee,,7604,Tennessee,2024-03-05,,TN Primary (P),
True,36,Election Dates,Presidential primary election held in Virginia,,7607,Virginia,2024-03-05,,VA Primary (P),
True,36,Election Dates,Democratic Party presidential caucus held in Iowa,,7599,Iowa,2024-03-05,,IA Caucus - Democratic Party (P),
True,36,Election Dates,Presidential primary election held in Maine,,7600,Maine,2024-03-05,,ME Primary (P),
True,36,Election Dates,Presidential primary election held in Colorado,,7598,Colorado,2024-03-05,,CO Primary (P),
True,36,Election Dates,Presidential and congressional primary elections held in Texas,,7532,Texas,2024-03-05,,TX Primary (P & C),
True,36,Election Dates,Republican Party presidential caucus  held in Alaska,,7929,Alaska,2024-03-05,,AK Caucus - Republican Party (P),
True,27,Pre and Post-Elections,"Texas (Minor Party Single-County Districts [#s 16, 18, 20, 29, 38]) Pre-Convention Report due",,7842,Texas,2024-03-04,,TX Minor Party Single-County Districts Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-texas-minor-single/
True,27,Pre and Post-Elections,South Carolina Workers Party Pre-Convention Report due,,7966,South Carolina,2024-03-04,,SC Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-south-carolina-workers/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the congressional conventions in Texas (Minor Party Multi-County Districts [#s 1-15, 17, 19, 21-28, 30-37]) and Wyoming (Constitution Party). Ends on March 21.",,7841,"TX, WY",2024-03-04,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024
True,27,Pre and Post-Elections,West Virginia Libertarian Party Pre-Convention Report due,,8006,West Virginia,2024-03-04,,WV Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/convention-report-notice-west-virginia-libertarian/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the presidential primary elections in Louisiana and Missouri (Democratic Party). Ends on March 21.,,7714,"LA, MO",2024-03-04,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the congressional primary runoff elections in Arkansas and Mississippi (if runoffs held). Ends on election day, April 2.",,7632,"AR, MS",2024-03-03,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the presidential primary elections in Connecticut, Delaware, New York, Rhode Island and Wisconsin. Ends on election day, April 2.",,7692,"CT, DE, NY, RI, WI",2024-03-03,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,36,Election Dates,Republican Party presidential caucus held in Idaho,,7594,Idaho,2024-03-02,,ID Caucus - Republican Party (P),
True,36,Election Dates,Republican Party presidential caucus held in Missouri,,7595,Missouri,2024-03-02,,MO Caucus - Republican Party (P),
True,36,Election Dates,Libertarian Party congressional convention held in Indiana,,7805,Indiana,2024-03-02,,IN Convention - Libertarian Party (C),
True,28,EC Periods,"60-day electioneering communications period begins for the New York 26th Congressional District special general election. Ends on election day, April 30, 2024.",,7902,New York,2024-03-01,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-special-elections-2024/
False,32,Open Meetings,Public meeting of the Commission,,7491,FEC Hearing Room,2024-02-29T10:00:00-05:00,,Open Meeting,https://www.fec.gov/updates/february-29-2024-open-meeting/
True,27,Pre and Post-Elections,Mississippi Pre-Primary Report due,,7757,Mississippi,2024-02-29,,MS Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-mississippi/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the presidential primary elections in Arizona, Florida, Illinois, Kansas and Ohio. Ends on March 17.",,7713,"AZ, FL, IL, KS, OH",2024-02-29,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the congressional primary elections in Illinois and Ohio. Ends on March 17.,,7656,"IL, OH",2024-02-29,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the North Dakota (Democratic Party) presidential primary election. Ends on election day, March 30",,7934,North Dakota,2024-02-29,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7907,,2024-02-29,,Executive Session,https://www.fec.gov/updates/february-27-2024-executive-session/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the special general election in California's 20th Congressional District and special primary election in Ohio's 6th Congressional District. Ends on March 17, 2024.",,7869,"CA, OH",2024-02-29,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-special-elections-2024/
False,34,Roundtables,The FEC will host a two-part Committee Operations workshop for candidate committees,2024-02-28T16:15:00-05:00,7877,Online via Zoom,2024-02-28T13:00:00-05:00,,Candidate Committee Webinar - Day 2,https://www.fec.gov/updates/fec-to-host-february-27-28-candidate-committee-webinar-2024/
